TCGA-IA-A83V	MYH7,PRKDC,VCAN,CENPF,OBSCN,NIPBL
TCGA-MH-A560	LAMA3,TNXB,DYNC2H1,XRN1,GBF1,ITPRID2,CENPF,THSD7A,BAP1,ZAN,HELZ
TCGA-A4-A5DU	TNS1,SLC5A12,AUTS2,SZT2
TCGA-Y8-A896	PCK1,DNMT3A,NF2,JMJD1C,PLXNB1,ASAP2,SYNE2,SPEN,CLUH,HMCN1,CMYA5,MYT1
TCGA-AL-3468	DDX5,SMARCA4,ASH1L,ATP7B,MEGF8,SRCAP,CELSR1,BAP1,SVEP1,DSCAM,SPATA31D1
TCGA-DW-7834	ARID1A,DNAH8,SF3B1,VCAN,RFX6,MEGF8,PCDH15,SON
TCGA-DW-7839	MGAM,XRN1,CUBN,TNRC6A,BOD1L1
TCGA-BQ-7058	FASN,RYR1,DDX5,PBRM1,SETD2,BIRC6,PCF11,HERC1,PCNX1,LRBA
TCGA-A4-A48D	THBS1,ANK3,APOB,KDM6A,LRP2,SMG1,VCAN,MAST4,EXPH5,SMCHD1,MYO9A,ZAN,NIPBL,RBM15B
TCGA-B1-5398	GLS,ATP1B1,FANCM,COL18A1,CNOT1,PCF11,ARHGEF17,CELSR1,SCAF11,ITPRID2,SRCAP,UBR3,SRRM2,ANKRD35
TCGA-IA-A83W	MET,CHD8,PBRM1,BIRC6,MACF1,GOLGA4,WDFY3,ACSF2,MUC16,ANKRD35
TCGA-2Z-A9J3	NCOR1,PARP4,NUP214,DSP,UNC13A,XRN1,SLC4A4,GBF1,DMXL2,KIF1B,SYNE2,BOD1L1,TEP1,BPTF
TCGA-V9-A7HT	AFDN,KMT2C,LRP2,TTN,MEGF8,ARHGAP32,PTPRD,CNTNAP5,MUC16
TCGA-SX-A7SU	CTNNA1,ANPEP,F12,KDM3B,FRYL,PRAG1
TCGA-5P-A9JW	CHD8,PCLO,DNAH11,TAS1R2,AHCTF1,HERC1,VPS13C,STAB1,PKHD1,MUC16
TCGA-A4-7997	CREBBP,MET,VWF,KMT2D,KMT2C,ASH1L,HERC1,CTTNBP2,SCRN2,RERE,TMF1,NIPBL
TCGA-B1-A47O	PTEN,TTN,LRP2,PCLO,DNAH2,F12,EPHA8,PCDH15,HECTD4
TCGA-DW-7838	LAMA3,TTN,POLR1A,MED13,RFX6,ZZEF1,CENPE,SYNE2,ZAN,ADGRV1,ANKRD35
TCGA-B1-A655	TP53,CACNA1A,TLN1,DNAH5,TTN,MYOM2,SMC6,XIRP2,HELZ
TCGA-BQ-5875	NF2,STAG2,SETD2,ABCA4,BAP1,DST,PLEC,RERE,VPS13A,PRAG1
TCGA-UN-AAZ9	TTN,AHCTF1,RFX6,CENPF,MAP3K19,MYO18A
TCGA-P4-A5E8	TP53BP1,PLXNB2,DMXL1,MAST4,NIPBL,FAT1,KIF13B
TCGA-MH-A55W	ANK1,UBR4,RANBP2,TNXB,NSD1,SHANK3,MDN1,SCAF11,ADGRV1,PCDH15,PKHD1,NEB
TCGA-B9-5156	EP300,MYH7,TAS1R2,FREM2,CENPE,HMCN1,UBR3,SH3TC1,PKHD1,LRBA
TCGA-BQ-5884	TSC2,LRP2,DOCK2,CUBN,FREM2,SIPA1L2,F12,KIAA1109
TCGA-MH-A55Z	DNMT3A,SMARCA4,LAMA3,UBR4,PRRC2C,EXPH5,MACF1,LYST,OBSCN,GIGYF2
TCGA-MH-A561	MET,CACNA1S,LRP2,DNAH1,BOD1L1,CENPF,VPS13C,CSMD3
TCGA-BQ-5890	CACNA1S,FASN,SETD2,PBRM1,SON,SLC5A12,PLEKHA6,PKHD1,SPATA31D1
TCGA-SX-A71S	MET,VWF,KMT2A,DYNC1H1,ITGAX,TTN,PCLO,COL18A1,HERC2,CEP250,GOLGA4,NIPBL,DSCAM,PLEKHA6,MACF1,MAST4,USF3,GOLGB1,BPTF
TCGA-A4-7287	STAG2,FAT4,HELZ2
TCGA-A4-7996	PTEN,TLN1,DYNC1H1,PATJ,F12,SSH2,SLC12A7,RERE,PKHD1,KIF13B,GIGYF2
TCGA-A4-8630	FGFR3,TTN,SMCHD1,MYO9A,PRRC2C,CSMD2,MUC16,HELZ,PRAG1
TCGA-5P-A9JZ	PCF11,HERC2,SPEG
TCGA-B9-7268	SMARCA4,DNAH8,ARHGEF28,FAT1,MACF1,KIAA1109,USF3,TNS1,NEB,PRAG1
TCGA-G7-A8LD	ANK2,USP34,OBSCN,CNTNAP5,BAP1,MUC17
TCGA-WN-AB4C	ATP1B1,LRP1,TTN,KDM3B,BIRC6,CASP8AP2,FAT1,ARHGEF17,OBSCN,MYT1
TCGA-UZ-A9PL	MGAM,TTN,ERCC6,GLG1,LRIG3,PLEKHA6,SPEG,SYNE2,ADGRV1,SEC16A,ACSF2
TCGA-B9-4114	UBR4,KMT2C,PARP4,WDR20
TCGA-HE-A5NL	PCK1,FAT4,KLB,MUC5B,CASP8AP2,SPEN,LYST,WDR81
TCGA-BQ-5878	ARID1A,ANK1,KMT2D,TTN,PLXNB2,KDM3B,UNC13A,ZFHX3,PCDH15,TMF1,MUC16,SRRM2,TNRC18,MYO18A,LRBA,TENM3
TCGA-EV-5901	ANK3,VCAN,PLEC
TCGA-IZ-A6M9	DNAH8,CNOT1,AUTS2,CSMD3,NEB,MYH4
TCGA-UZ-A9PN	CACNA1S,PRR12,CNTNAP5,WDR19,LRP1B,GIGYF2
TCGA-B3-4103	EP300,ATP1B1,CTTNBP2,CLUH,DST
TCGA-A4-7585	NSD1,DOCK2,ABCA13,MYO18B,KIAA1109
TCGA-IA-A40Y	RYR2,DNMT3A,CLTC,TTN,KMT2D,DNAH5,KLB,DNAH2,SF3B1,TAS1R2,CUBN,GRAMD1A,SYNE2,PKHD1,BPTF
TCGA-SX-A7SL	NF2,MED13,BIRC6,EPHA8,SEC16A,PCDH15,ACSF2,LYST,WDR81,PKHD1,GOLGB1,MYT1,MYO18A
TCGA-PJ-A5Z8	ACACA,GLS,ARID1A,LAMA3,ANK3,PLXNB2,ABCA13,MON2,ACSF2,ANKRD35
TCGA-GL-8500	RYR1,CACNA1A,ARHGEF28,KIAA1109,SRRM2
TCGA-UZ-A9PR	LAMA3,MED13,KMT2D,POLR1A,FANCM,SLC4A4,MYO9A,PCNX1,CLUH,SYNE1
TCGA-F9-A7Q0	SAV1,TTN,MUC16
TCGA-GL-A4EM	MTOR,CLTC,STAG2,DNAH1,FREM2,CSMD2,USH2A,GRAMD1A,HMCN1,WDR20,EML5,OBSCN,RNF213
TCGA-HE-A5NF	CTNNA1,TG,FAT4,TEP1,UBR3
TCGA-5P-A9KC	SMARCB1,PARP4,AHNAK,CEP250,UBR3,CNTNAP5
TCGA-BQ-5881	TP53,NFE2L2,BIRC6,VPS13C,ITPRID2
TCGA-AL-3472	MET,SF3B1,USH2A,PRR12,SRRM2,PKHD1,MUC16
TCGA-G7-6790	CTNNA1,RYR1,TTN,KMT2D,JMJD1C,XRN1,CEP250,FRYL,SHROOM3,GREB1
TCGA-A4-8311	PRKDC,MUC5B,THOC2,MUC16
TCGA-B3-4104	TP53,FGFR3,STAG2,KMT2D,KMT2C,CELSR1,MACF1,PRR12,NEB
TCGA-EV-5902	CACNA1A,NF2,TTN,BIRC6,FLG,OBSCN,XIRP2,MYCBP2,PLEC
TCGA-A4-8515	ARID1A,MDN1,SIPA1L2,USH2A,SMCHD1,ZZEF1,GOLGA4,WDR81
TCGA-SX-A7SP	PCK1,UBR4,KDM6A,KLB,TNS1,KIAA1109,TMF1,ADGRV1,MUC17
TCGA-HE-A5NK	ITGAX,SAV1,DOT1L,SHANK3,KAT6A,GRAMD1A,MYO18B,BOD1L1,MTUS1,WDFY3,RNF213,PKHD1,NEB,CPLANE1
TCGA-A4-7734	MET,CLTC,APOB,FAT4,TAS1R2,CUBN,DST,MACF1,SON,VPS13A
TCGA-B1-A47M	NFE2L2,SMARCB1,NF2,TET1,KIAA1109,MYT1
TCGA-BQ-7046	LRP6,CACNA1S,CHD8,KAT6A,DNAH11,DMXL1,DSCAM
TCGA-AL-A5DJ	SMARCA4,RANBP2,KMT2C,XRN1
TCGA-Q2-A5QZ	KMT2A,KMT2C,MUC2,ZFHX3,TET1,KNL1,SVEP1,PKHD1,GIGYF2
TCGA-B9-A44B	BRCA2,PBRM1,SETD2,MED13,LRP2,TP53BP1,IGF2R,DSP,PCLO,MDN1,SYNE2,SPEN,STAB1,PHLDB1,WDR20,C2CD5
TCGA-UZ-A9PP	POLR1A,TTN,COL18A1,HELZ2,OBSCN,BPTF,MUC16
TCGA-BQ-5880	FASN,ARID1A,KMT2D,NUP214,DNAH1,SLC4A4,CUBN,MACF1,MYO18B
TCGA-BQ-5892	CHD8,CNOT1,CEP250,KIAA1109,SON,BAP1,MUC16
TCGA-B9-4617	LRP6,GLS,PCF11,WDFY3,CUX1
TCGA-G7-6793	TTN,SMG1,TAS1R2,CUBN,EXPH5
TCGA-A4-7584	ACTB,TTN,PCLO,KDM6A,PARD6B,DNAH2,DYNC2H1,SYNE1,MUC16,HMCN1,NAV3,HELZ
TCGA-2Z-A9J8	DOT1L,CUL3,NIPBL
TCGA-A4-7288	RANBP2,MUC2,SLC12A7,SLC5A12
TCGA-GL-A9DC	MED13,TTN,DYNC1H1,DNAH11,HERC1,SLC12A7,WDR19,SPEN,WDFY3,PKHD1
TCGA-BQ-5886	KMT2D,PARD6B,KDM6A,ITGAX,LRP2,AHNAK,RERE,MON2,GOLGA4
TCGA-MH-A854	TSC2,ANK3,PCLO,ARFGEF2,GBF1,RFX6,GTF3C1,THSD7A,UBR3,STAB1,USH2A,EPG5,MUC16,OBSCN,GREB1,SZT2
TCGA-G7-A8LC	SAV1,POLR1A,PRAG1
TCGA-SX-A7SR	MTOR,LRP1,HERC2,CUBN,MYCBP2,MACF1,TEP1,CTTNBP2,HELZ2,KIAA1109,SMC6,SCRN2,GREB1
TCGA-A4-A5XZ	DDX5,PRKDC,SPEG
TCGA-GL-A59T	DNMT3A,NSD1,IGF2R,HUWE1,AHCTF1,SLC12A7,MUC16,KIF13B
TCGA-Y8-A898	EP300,CTNNA1,DYNC2H1,PLXNB1,HERC2,DMXL1,WDFY3,MYO18B,WDR19
TCGA-Y8-A897	PTEN,TSC2,HMCN1,USH2A,ADGRV1,CMYA5
TCGA-B9-5155	SETD2,PARP4,SSH2,DYNC2H1,KAT6A,HERC1,PRRC2C,SEC16A,PKHD1,SLC5A12
TCGA-G7-A8LE	MET,KMT2D,LRP2,TG,CTTNBP2,FAT1,LRIG3,NAV3,SCRN2,DST,BAP1,ACSF2
TCGA-DW-7837	FASN,NCOR1,KAT6A,CUBN,MEGF8,ARHGEF17
TCGA-DW-7840	EP300,LRP6,SMARCA4,PATJ,TNS1,PHLDB1,USP34,CENPE,RERE,LRBA
TCGA-BQ-7056	TTN,HERC1,FLG,RBM15B
TCGA-DW-7841	RYR3,FANCM,GTF3C1
TCGA-DW-5560	CLTC,TTN,F12,DMXL2,NEB
TCGA-J7-8537	RYR2,ARID1A,APOB,TAS1R2,FLG,CENPE,LRP1B
TCGA-DW-7836	CACNA1S,AHNAK,KLB,SYNE2,ARHGEF17,TNS1,CSMD3
TCGA-A4-A7UZ	ACACA,ATXN2,DNAH1,GTF3C1,CENPE,PCNX1,MUC17
TCGA-MH-A857	MTOR,KMT2A,LYST,C2CD5,EPG5,OBSCN,EML5
TCGA-2Z-A9JN	ACTB,DNAH8,TAS1R2,ZNF536
TCGA-BQ-7059	MET,ATXN2,THOC2,USH2A,CENPE,PLEKHA6,WDFY3,PHLDB1,SRRM2
TCGA-5P-A9K0	KDM6A,FANCM,HUWE1,SF3B1,TNS1,DST,CNTNAP5,RBM15B
TCGA-EV-5903	NSD1,PATJ,PCF11,ARHGEF28,SON,NAV3,DLEC1,SPATA31D1
TCGA-A4-A6HP	DSP,ZZEF1,TMF1,OBSCN,XIRP2,ZNF536
TCGA-5P-A9JU	CACNA1S,SMARCB1,SETD2,ATP7B,ASAP2,SLC12A7,WNK1,MYO9A,USP34,TNRC18
TCGA-A4-A5Y0	NCOR1,CUL3,DNAH1,KLB,MDN1,KNL1,WDFY3
TCGA-G7-6797	NF2,FAT1,LRIG3,PRR12,USF3
TCGA-HE-7130	FGFR3,VWF,AFDN,ANK3,STAG2,KDM6A,BIRC6,FANCM,TG,VCAN,HUWE1,DMXL2,ZZEF1,SRCAP,FLG,KIF1B,SYNE1,CMYA5,EML5
TCGA-BQ-7061	MTOR,PBRM1,SETD2,TP53BP1,HERC2,GBF1,FAT1,SPEG,GOLGA4,TEP1,USP34,XIRP2,USF3,ZMYM6
TCGA-2Z-A9JQ	PATJ,CUL3,TTN,PLXNB1,HERC1,MDN1,USH2A,MTUS1,MUC17,DSCAM,MAP3K19
TCGA-SX-A7SO	RYR2,ANPEP,HMCN1,KNL1,SLC5A12
TCGA-G7-7501	TTN,PTPRZ1,CLUH,NBEA
TCGA-GL-A9DE	FASN,KMT2A,PBRM1,DOT1L,SETD2,ANPEP,PARD6B,PCLO,HERC2,PLXNB2,DMXL2,SPEN,LYST,KIAA1109,DIP2C,MUC16
TCGA-F9-A7VF	ACTB,DDX5,MYH7,TTN,F12,HERC2,ZZEF1,STAB1,SH3TC1,MYCBP2,FLG,XIRP2,PLEC,RBM15B
TCGA-IZ-8196	MET,BRCA2,MUC2,AHCTF1,PCF11,MDN1,SYNE2,SRCAP,CTTNBP2,ANKRD35
TCGA-IA-A83S	PRKDC,LRP1,TNXB,TTN,ATP7B,DNAH8,PCF11,GLG1,UNC13A,PCNX1,DLEC1,NIPBL,MUC16
TCGA-GL-7773	TTN,NUP214,ATP7B,THOC2,F12,HERC2,CUBN,SIPA1L2,DMXL2,PRRC2C,KIAA1109,FLG,HELZ
TCGA-5P-A9K2	ASH1L,SF3B1,FRYL,WNK1,HELZ2,TET1
TCGA-2K-A9WE	NCOR1,CLTC,RANBP2,DNAH5,PTPRZ1,KAT6A,MEGF8,PCNX1,HELZ
TCGA-MH-A856	CREBBP,SSH2,ARHGAP32,SRCAP,KIAA1109
TCGA-KV-A74V	TSC2,IGF2R,LRP1B
TCGA-P4-AAVM	BRCA2,ASH1L,ABCA13,GLG1,KIF1B,BPTF,PLEC
TCGA-A4-7732	ABCA4,USP34,SLC5A12
TCGA-BQ-5877	NF2,SETD2,RANBP2,DCC,DSP,TG,ARHGEF28,ABCA13,BAP1,PCDH15,HMCN1,GRAMD1A,FAT1,SRRM2,MYH4
TCGA-5P-A9KH	TP53,KMT2D,GLG1,MEGF8,MYOM2,HMCN1
TCGA-Y8-A8RZ	NUP214,CUL3,BIRC6,SPEN,KIAA1109,BAP1,RBM15B
TCGA-B9-4113	MTOR,DOT1L,UBR4,TP53BP1,ATP7B,EPHA8,HELZ2,ZMYM6
TCGA-F9-A4JJ	ATP1B1,TNXB,FREM2,MAP3K19,KIF13B,SPATA31D1
TCGA-BQ-5889	TSC2,HERC2,RFX6,SCRN2,OBSCN,ADGRV1
TCGA-G7-6796	ARID1A,DNAH5,DNAH8,C2CD5,MACF1,SYNE1
TCGA-B9-4117	CREBBP,TLN1,RYR1,ZFHX3
TCGA-Y8-A8S1	ATXN2,DNAH8,DNAH2,MUC5B,TMF1,SMC6,PRR12,SHROOM3,NBEA,PKHD1
TCGA-2Z-A9JM	GLS,DNAH5,HECTD4
TCGA-BQ-5876	SMARCB1,SETD2,BIRC6,PCF11,ASAP2,HMCN1,PLEKHA6,SYNE1,ADGRV1,MUC16
TCGA-B3-A6W5	DDX5,KDM3B,SH3TC1,OBSCN
TCGA-UZ-A9Q1	PTEN,KMT2C,ANPEP,DMXL2,TNRC6A,NAV3,ARHGAP32,SPATA31D1
TCGA-PJ-A5Z9	ANK3,DNAH2,KDM3B,ABCA4,LRP1B,CASP8AP2,MUC16,NBEA
TCGA-5P-A9KA	MET,TSC2,LAMA3,KMT2C,PTPRZ1,CUL3,ZFHX3,SYNE2,CTTNBP2,SYNE1,SZT2,LRBA,ZNF536
TCGA-G7-6795	APOB,ZFHX3,ABCA13,SH3TC1,UBR3,SEC16A
TCGA-B1-A654	BRCA2,KMT2C,SYNE1,MYO9A,ITPRID2,WDR20
TCGA-HE-7129	MUC2,CNOT1,TNRC6A,PCDH15
TCGA-UZ-A9PM	LRP6,ANK3,HUWE1,MACF1,MUC16,CUX1
TCGA-BQ-7045	AFDN,DYNC1H1,PCLO,ABCA4,LRIG3,USH2A
TCGA-B9-A8YH	EP300,UBR4,LRP2,TTN,SLC12A7,WNK1,EPG5,AUTS2,GOLGB1,LRBA
TCGA-P4-AAVL	PLXNB2,JMJD1C,CUBN,TNRC18,ZNF536
TCGA-G7-6789	SAV1,DNAH1,RNF213
TCGA-A4-8098	ANK2,STAG2,ATP1B1,SETD2,PTPRZ1,PARP4,SMG1,DNAH11,PCF11,TET1,ARHGAP32
TCGA-DZ-6132	MET,CLTC,ANK2,ANPEP,ABCA4,WDR20,TNS1,MACF1,DSCAM
TCGA-BQ-7062	TLN1,PLXNB1,DNAH1,WDR81
TCGA-UZ-A9PK	EP300,ANK1,ANPEP,SMARCA4,CUBN,DLEC1,WNK1,BAP1
TCGA-SX-A7SQ	MET,DDX5,ANPEP,DSP,FREM2,BOD1L1,THSD7A,MYO18B,SRRM2,DSCAM,RNF213
TCGA-IZ-A6M8	FASN,DMXL1,WDR19,MON2,NBEA,MUC16
TCGA-G7-A4TM	CREBBP,KMT2C,AHNAK,DSP,ARFGEF2,ARHGEF28,TNRC6A,CENPF
TCGA-BQ-7051	PTEN,NFE2L2,CTNNA1,KMT2D,RANBP2,KMT2C,DNAH11,FREM2,TEP1,MAST4
TCGA-UZ-A9PZ	CUBN,MYCBP2,HELZ2,DST,PKHD1,GREB1,GIGYF2,TENM3
TCGA-GL-A9DD	KMT2C,ASH1L,MGAM,JMJD1C,TG,MDN1,FAT1,WNK1,PTPRD,PCNX1,LRP1B,PLEC
TCGA-UZ-A9PV	VWF,ACACA,CACNA1A,SLC4A4,DYNC1H1,DYNC2H1,ABCA4,EXPH5,BPTF
TCGA-MH-A562	VCAN,FAT1,SCRN2
TCGA-2Z-A9JJ	DNAH8,DST,MUC16,VPS13A
TCGA-BQ-7050	THBS1,ATP1B1,ASH1L,XRN1,PCF11
TCGA-UZ-A9PO	CHD8,MEGF8,BOD1L1,GOLGA4,SRRM2,ZNF536
TCGA-SX-A7SM	TTN,CNOT1,OBSCN,MUC17,HECTD4,MAP3K19,KIF13B,VPS13A
TCGA-P4-A5EA	CREBBP,NF2,THOC2,SRCAP,CSMD2,GOLGA4,AUTS2,MUC16
TCGA-5P-A9K3	TP53,EP300,LAMA3,PBRM1,SETD2,TNXB,TTN,DNAH8,HMCN1,MYCBP2,PKHD1
TCGA-2Z-A9JO	ANK1,PATJ,PRR12,MTUS1,NEB,CPLANE1
TCGA-G7-6792	TSC2,TG,F12,EPG5
TCGA-BQ-7053	MED13,DCC,CNOT1,SPEN,LRBA
TCGA-GL-6846	ACTB,AFDN,SMARCB1,TTN,ARFGEF2,FAT1,PRRC2C,FRYL,C2CD5,DIP2C,PTPRD,SRRM2
TCGA-B9-4116	EP300,CACNA1S,NCOR1,ATXN2,NUP214,CEP250,TMF1,FAT1,SEC16A
TCGA-IA-A40U	MET,NCOR1,FAT4,GLG1,LRIG3
TCGA-2Z-A9J2	NCOR1,ARID1A,TTN,DNAH2,KAT6A,CNOT1,CUBN,DMXL2,KIF1B,DLEC1,BAP1,CNTNAP5,ADGRV1,MAP3K19,KIF13B,SZT2,HELZ
TCGA-BQ-5882	MET,TTN,PTPRZ1,STAB1,MUC17
TCGA-F9-A8NY	TG,SYNE1,HECTD4
TCGA-IZ-8195	THBS1,RYR3,LRP1,ABCA13,ASAP2,DMXL1,FAT1,HECTD4
TCGA-B1-A656	THBS1,BRCA2,ARID1A,ANK1,PBRM1,DYNC2H1,ABCA13,SH3TC1,CNTNAP5,LRIG3,TNRC6A
TCGA-Y8-A8S0	DYNC2H1,DLEC1,WDR19,BOD1L1,NEB,ZNF536
TCGA-BQ-5879	RYR1,RYR3,TTN,SLC12A7
TCGA-B9-A69E	ATP7B,FANCM,GBF1,GTF3C1,FAT1,CENPF,DST,THSD7A,OBSCN,LRBA,TENM3
TCGA-4A-A93Y	CREBBP,LRP1,OBSCN,SRRM2
