method	cancer	prop_broad_c	prop_approved_c	prop_anticancer_c	prop_broad_p	prop_approved_p	prop_anticancer_p	prop_broad_p_5union	prop_approved_p_5union	prop_anticancer_p_5union	hit_broad_samples	hit_approved_samples	hit_anticancer_samples	hit_broad_samples_5union	hit_approved_samples_5union	hit_anticancer_samples_5union	hit_broad_mean	hit_approved_mean	hit_anticancer_mean
DawnRank	LUAD	0.78	0.7	0.47	0.463490273470539	0.360022554271215	0.248096983366225	0.641901931649331	0.520059435364042	0.417533432392273	500	500	496	500	499	496	15.278	12.704	9.99
DawnRank	LUSC	0.76	0.68	0.53	0.537607891491985	0.430332922318126	0.313193588162762	0.728346456692913	0.62992125984252	0.496062992125984	476	476	474	476	474	472	16.2809224318658	13.3668763102725	10.8700209643606
DawnRank	PRAD	0.78	0.62	0.54	0.477241379310345	0.370114942528736	0.249655172413793	0.536029411764706	0.429411764705882	0.307352941176471	463	457	428	458	446	411	4.33262260127932	3.38592750533049	2.41791044776119
DawnRank	STAD	0.73	0.63	0.53	0.506192568917299	0.395125848981223	0.283260087894527	0.650470219435737	0.550156739811912	0.432601880877743	396	396	396	396	396	392	11.5768261964736	9.54911838790932	7.63476070528967
DawnRank	THCA	0.72	0.62	0.54	0.378191489361702	0.294148936170213	0.196276595744681	0.397567221510883	0.314980793854033	0.209346991037132	455	449	431	454	448	430	2.78833693304536	2.32829373650108	1.86393088552916
DawnRank	UCEC	0.77	0.65	0.57	0.497854077253219	0.391273247496423	0.277539341917024	0.678966789667897	0.566420664206642	0.46309963099631	504	504	504	504	504	503	12.1150793650794	10.3492063492063	8.94246031746032
PDRWH	BRCA	0.83	0.7	0.68	0.449585194639438	0.33918315252074	0.244735162731334	0.536082474226804	0.424889543446244	0.330633284241532	949	947	940	945	937	929	6.03882476390346	4.84994753410283	4.17418677859391
PDRWH	COAD	0.71	0.55	0.52	0.468965517241379	0.360742705570292	0.284880636604775	0.636363636363636	0.516129032258065	0.448680351906158	423	423	420	421	421	417	11.4822695035461	9.1371158392435	7.87234042553191
PDRWH	HNSC	0.74	0.6	0.56	0.454584588893672	0.343951786482996	0.267326732673267	0.621527777777778	0.510416666666667	0.428819444444444	494	494	493	493	492	490	9.53441295546559	7.43522267206478	6.3502024291498
PDRWH	KIRC	0.73	0.57	0.55	0.478523895946763	0.371445856019359	0.277071990320629	0.555851063829787	0.441489361702128	0.361702127659574	369	368	366	367	363	356	5.97831978319783	4.70189701897019	3.9349593495935
PDRWH	KIRP	0.76	0.6	0.59	0.450993377483444	0.356291390728477	0.259602649006622	0.535230352303523	0.428184281842818	0.327913279132791	276	274	268	273	264	250	5.19202898550725	3.91304347826087	3.15217391304348
PDRWH	LIHC	0.84	0.68	0.66	0.482060185185185	0.380787037037037	0.303819444444444	0.598473282442748	0.479389312977099	0.412213740458015	361	361	358	360	357	353	7.27700831024931	5.65373961218837	4.93628808864266
PDRWH	LUAD	0.72	0.55	0.45	0.419290020093771	0.316141995981246	0.237106496985934	0.618069815195072	0.492813141683778	0.42299794661191	500	500	496	500	497	495	14.268	11.26	8.868
PDRWH	LUSC	0.68	0.56	0.5	0.494464944649447	0.384818133895625	0.304164470216131	0.656565656565657	0.531986531986532	0.461279461279461	476	476	474	475	473	471	14.8888888888889	11.7568134171908	9.71698113207547
PDRWH	PRAD	0.85	0.71	0.65	0.4510556621881	0.346449136276392	0.241362763915547	0.506014434643144	0.402566158781075	0.287890938251804	461	457	430	456	445	405	4.11513859275053	3.18550106609808	2.34754797441365
PDRWH	STAD	0.7	0.59	0.54	0.453169347209082	0.341059602649007	0.271050141911069	0.623157894736842	0.498947368421053	0.431578947368421	396	396	396	396	393	394	10.6221662468514	8.07052896725441	6.94710327455919
PDRWH	THCA	0.58	0.48	0.45	0.354648038688877	0.265986029016658	0.184846856528748	0.363341968911917	0.280440414507772	0.198186528497409	455	447	429	455	447	429	2.62203023758099	2.1511879049676	1.77753779697624
PDRWH	UCEC	0.72	0.57	0.56	0.444308943089431	0.34390243902439	0.264634146341463	0.634328358208955	0.495024875621891	0.422885572139304	504	504	504	504	504	503	10.9920634920635	8.74206349206349	7.98214285714286
