"TCGA-DW-5560"	"TCGA-DW-7842"	"TCGA-A4-7288"	"TCGA-A4-A48D"	"TCGA-2Z-A9J8"	"TCGA-DW-7841"	"TCGA-B3-4104"	"TCGA-O9-A75Z"	"TCGA-BQ-5892"	"TCGA-MH-A857"	"TCGA-BQ-7056"	"TCGA-DW-7834"	"TCGA-BQ-7046"	"TCGA-DZ-6134"	"TCGA-A4-7734"	"TCGA-BQ-7058"	"TCGA-B9-5155"	"TCGA-DW-7839"	"TCGA-SX-A7SP"	"TCGA-MH-A55Z"	"TCGA-B9-A44B"	"TCGA-BQ-5888"	"TCGA-DW-7837"	"TCGA-AL-3468"	"TCGA-DW-7838"	"TCGA-Q2-A5QZ"	"TCGA-MH-A854"	"TCGA-A4-A5XZ"	"TCGA-BQ-5880"	"TCGA-GL-A9DC"	"TCGA-B9-4617"	"TCGA-5P-A9JW"	"TCGA-Y8-A898"	"TCGA-A4-7585"	"TCGA-EV-5903"	"TCGA-BQ-7059"	"TCGA-B1-A654"	"TCGA-GL-A4EM"	"TCGA-UZ-A9PM"	"TCGA-UZ-A9Q0"	"TCGA-SX-A7SU"	"TCGA-BQ-5881"	"TCGA-2Z-A9JI"	"TCGA-BQ-7061"	"TCGA-J7-6720"	"TCGA-HE-7130"	"TCGA-AL-3472"	"TCGA-AL-3467"	"TCGA-P4-A5EA"	"TCGA-BQ-5883"	"TCGA-UZ-A9PV"	"TCGA-2Z-A9J3"	"TCGA-BQ-7060"	"TCGA-V9-A7HT"	"TCGA-A4-7732"	"TCGA-2Z-A9JO"	"TCGA-P4-AAVM"	"TCGA-A4-A5Y1"	"TCGA-DZ-6131"	"TCGA-F9-A4JJ"	"TCGA-BQ-7050"	"TCGA-4A-A93W"	"TCGA-B3-3925"	"TCGA-BQ-5875"	"TCGA-B1-A656"	"TCGA-A4-A4ZT"	"TCGA-5P-A9KF"	"TCGA-SX-A71V"	"TCGA-P4-A5E8"	"TCGA-UZ-A9PK"	"TCGA-2Z-A9JR"	"TCGA-A4-8098"	"TCGA-2Z-A9J2"	"TCGA-B9-A69E"	"TCGA-B9-A5W9"	"TCGA-BQ-7051"	"TCGA-IZ-8195"	"TCGA-A4-8518"	"TCGA-Y8-A896"	"TCGA-UZ-A9PJ"	"TCGA-DZ-6133"	"TCGA-BQ-7048"	"TCGA-J7-A8I2"	"TCGA-2Z-A9JD"	"TCGA-BQ-5878"	"TCGA-G7-7502"	"TCGA-2Z-A9JG"	"TCGA-IA-A83V"	"TCGA-IA-A83T"	"TCGA-UZ-A9PU"	"TCGA-HE-A5NL"	"TCGA-A4-8311"	"TCGA-GL-7966"	"TCGA-DW-7840"	"TCGA-B1-A47M"	"TCGA-B1-5398"	"TCGA-J7-8537"	"TCGA-BQ-5894"	"TCGA-B3-A6W5"	"TCGA-2Z-A9JN"	"TCGA-UZ-A9Q1"	"TCGA-Y8-A8S1"	"TCGA-IA-A40X"	"TCGA-A4-8312"	"TCGA-B9-A8YH"	"TCGA-5P-A9KA"	"TCGA-5P-A9K0"	"TCGA-G7-6795"	"TCGA-IA-A40Y"	"TCGA-GL-8500"	"TCGA-UZ-A9PR"	"TCGA-B3-4103"	"TCGA-5P-A9JU"	"TCGA-F9-A7Q0"	"TCGA-HE-A5NF"	"TCGA-2Z-A9JQ"	"TCGA-5P-A9KC"	"TCGA-5P-A9JY"	"TCGA-UZ-A9PO"	"TCGA-GL-6846"	"TCGA-Y8-A8RZ"	"TCGA-Y8-A894"	"TCGA-G7-7501"	"TCGA-IZ-8196"	"TCGA-B9-4117"	"TCGA-MH-A855"	"TCGA-A4-8310"	"TCGA-A4-7286"	"TCGA-IZ-A6M8"	"TCGA-SX-A7SQ"	"TCGA-F9-A8NY"	"TCGA-AL-3466"	"TCGA-SX-A7SS"	"TCGA-AL-7173"	"TCGA-B9-4115"	"TCGA-5P-A9JZ"	"TCGA-B9-7268"	"TCGA-WN-AB4C"	"TCGA-Y8-A8S0"	"TCGA-5P-A9K8"	"TCGA-BQ-5879"	"TCGA-A4-7583"	"TCGA-UZ-A9PZ"	"TCGA-HE-A5NI"	"TCGA-A4-A57E"	"TCGA-2Z-A9J5"	"TCGA-KV-A6GD"	"TCGA-SX-A71U"	"TCGA-B9-A5W7"	"TCGA-G7-A8LE"	"TCGA-AL-A5DJ"	"TCGA-G7-A8LC"	"TCGA-A4-A7UZ"	"TCGA-Y8-A897"	"TCGA-BQ-7044"	"TCGA-A4-A6HP"	"TCGA-P4-A5ED"	"TCGA-2Z-A9JM"	"TCGA-BQ-5876"	"TCGA-UZ-A9PN"	"TCGA-PJ-A5Z8"	"TCGA-MH-A55W"	"TCGA-A4-A5Y0"	"TCGA-BQ-7045"	"TCGA-G7-6797"	"TCGA-B3-3926"	"TCGA-SX-A7SL"	"TCGA-AT-A5NU"	"TCGA-5P-A9KE"	"TCGA-B1-7332"	"TCGA-P4-AAVL"	"TCGA-A4-7828"	"TCGA-5P-A9KH"	"TCGA-MH-A562"	"TCGA-G7-6792"	"TCGA-SX-A7SM"	"TCGA-G7-6796"	"TCGA-2Z-A9J6"	"TCGA-B9-4116"	"TCGA-5P-A9K3"	"TCGA-BQ-5877"	"TCGA-IA-A83W"	"TCGA-2Z-A9JJ"	"TCGA-SX-A7SO"	"TCGA-UZ-A9PS"	"TCGA-GL-A9DD"	"TCGA-IA-A40U"	"TCGA-GL-7773"	"TCGA-GL-A9DE"	"TCGA-A4-7915"	"TCGA-SX-A71W"	"TCGA-KV-A74V"	"TCGA-GL-A59R"	"TCGA-BQ-5893"	"TCGA-2K-A9WE"	"TCGA-F9-A97G"	"TCGA-WN-A9G9"	"TCGA-HE-A5NJ"	"TCGA-BQ-5882"	"TCGA-DZ-6132"	"TCGA-B9-A8YI"	"TCGA-G7-A4TM"	"TCGA-Y8-A8RY"	"TCGA-HE-A5NH"	"TCGA-AL-3473"	"TCGA-P4-A5EB"	"TCGA-SX-A71R"	"TCGA-MH-A560"	"TCGA-A4-A5DU"	"TCGA-G7-A8LB"	"TCGA-BQ-5885"	"TCGA-4A-A93Y"	"TCGA-A4-7996"	"TCGA-2Z-A9J7"	"TCGA-5P-A9K6"	"TCGA-P4-A5E7"	"TCGA-2Z-A9JK"	"TCGA-BQ-5891"	"TCGA-A4-A772"	"TCGA-HE-7128"	"TCGA-4A-A93X"	"TCGA-MH-A561"	"TCGA-B9-4114"	"TCGA-BQ-5890"	"TCGA-EV-5902"	"TCGA-BQ-5886"	"TCGA-DW-7836"	"TCGA-BQ-7055"	"TCGA-B1-A47O"	"TCGA-BQ-7049"	"TCGA-A4-7584"	"TCGA-DW-5561"	"TCGA-SX-A7SR"	"TCGA-G7-6793"	"TCGA-GL-A59T"	"TCGA-UZ-A9PP"	"TCGA-PJ-A5Z9"	"TCGA-A4-7997"	"TCGA-B9-5156"	"TCGA-BQ-5887"	"TCGA-HE-7129"	"TCGA-BQ-7053"	"TCGA-B9-4113"	"TCGA-BQ-5889"	"TCGA-MH-A856"	"TCGA-B1-A655"	"TCGA-F9-A7VF"	"TCGA-B1-A657"	"TCGA-BQ-7062"	"TCGA-IA-A83S"	"TCGA-DZ-6135"	"TCGA-5P-A9K2"	"TCGA-SX-A7SN"	"TCGA-G7-6789"	"TCGA-P4-A5E6"	"TCGA-UN-AAZ9"	"TCGA-2Z-A9J1"	"TCGA-KV-A6GE"	"TCGA-G7-A8LD"	"TCGA-G7-6790"	"TCGA-UZ-A9PL"	"TCGA-B3-8121"	"TCGA-Y8-A895"	"TCGA-IZ-A6M9"	"TCGA-A4-8517"	"TCGA-A4-8515"	"TCGA-HE-A5NK"	"TCGA-EV-5901"	"TCGA-B9-A5W8"	"TCGA-UZ-A9PX"	"TCGA-A4-8630"	"TCGA-A4-7287"	"TCGA-2Z-A9JS"	"TCGA-BQ-5884"	"TCGA-SX-A71S"	"TCGA-B1-A47N"
"AFAP1L2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00345000842744123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MAGEH1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00339076138204238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GJB5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00338884499404593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ZNF33B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335086135112323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111683430950237	0	0	0	0	0	0	0	0	0	0.0204477015913784	0	0
"ST6GAL2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00334693458754034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ZSCAN12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00332516935979326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCNX4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00320590587764551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FER1L5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00315114965563565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00878467363886474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00536478740552741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR51G2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00312103942613514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00446926633023859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156090036103537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FSTL5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00308621975120741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037406092697603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C4orf17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00305759673279855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CRACD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00305009533327146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00926452559411043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00844736974768816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6Y1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00304752208114376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280700248321372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AC099552.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297282038878873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP10-11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297282038878873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TP53BP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198588812132468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052553175661586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0736362054618883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0396145856101154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0338686977912834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601457062374298	0	0	0	0	0	0	0	0	0	0.0532379869521113	0	0	0	0	0.0874751816700491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RPSA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017434040662213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
