TCGA-DJ-A13P	BRAF,KMT2A,CPLANE1,OFD1,PHEX
TCGA-J8-A3YF	BRAF,WNT7B,VCL,GNPAT,MAGI1,DPYSL5,DDX42,SPG21,CAP2,KCNG1,MAP1A,METTL14,RNMT,TEX15,UBXN2B,USP10,ZNF74
TCGA-ET-A3BP	BRAF,ADCY7,KHDRBS2
TCGA-DJ-A2PU	BRAF,DTYMK,ENPEP,UBE2O,PLAC1,SPTBN1
TCGA-FY-A3NM	DNMT3A,B4GALNT1,NPFFR2,CNTLN,DPP8,INTS14,TPBG
TCGA-KS-A4I5	BRAF,PSMA4,BDH1,SPTA1,DLC1,FAT3,HTR3B
TCGA-ET-A3DP	BRAF,RPL36A,LIMD1,PCLO,COL11A2,FBXL20,SPAG9
TCGA-E3-A3E5	BRAF,LAMC2,LDHA,XYLB,ASCC3,DMAC2,EIF3F,GAPVD1,HDLBP,TCAP
TCGA-BJ-A28R	BRAF,TPM3,KCNV2,SCN10A,YEATS2
TCGA-EL-A3ZR	HRAS,PLCB3,POMGNT1,RFXAP,ABO,PPP1R3B,NLRP4,OR5B17,EPC2,KBTBD7,LRP10,PCDH11X,RSPH14
TCGA-EL-A3CW	YWHAG
TCGA-BJ-A0Z9	BRAF,VCAM1,APOB,TAX1BP1,PTH2R,CCAR2,CFAP300,CRYBG1,KCNV2,PDZD2,PLEC,PXDNL,USP9X,VPS53,ZNF467
TCGA-DJ-A3V6	BRAF,KCNC3,ERBIN,KCNA1,LRP10,PLEC
TCGA-DJ-A3V0	BRAF,ESR1,CTNNA3,KMT2D,CTBP2,DNAH17,PPT2,CCDC97,CDK19,CELSR3,CORO7,CPM,EGFL8,KAT6A,NUDT17,PITPNM2,RGP1,USH2A
TCGA-EM-A2CO	VCAM1,WIPF2,ARHGAP29,HELLS,NEB,PCID2,PIH1D2,TSNAX,ZNF407
TCGA-EM-A3FK	BRAF,MAPK8IP2,TRPV2,PITPNA
TCGA-BJ-A0YZ	AXIN1,DNAH5,FGD3,CDH8,DDX3Y,FRMPD2,NEK10,PTPRK,SCN1A,SUGCT,TEP1
TCGA-DJ-A4V5	GNAO1,TBXA2R,CBWD1,DPP8,POU2F3,WDR11
TCGA-DJ-A3VD	BRAF,ITGA7,PKLR
TCGA-DJ-A3VM	MYLK,GUCY1A1,LRRK2,NUP133,MOGAT3,TG,PSPH,CNOT10,CTC1,EIF3G,KCNIP4,SNRK
TCGA-EL-A4K4	BRAF,COL6A6,HSPD1,ITCH,NCOR2,BSN
TCGA-BJ-A3PR	HLA-DRA,ENPEP,OR4X1,CEP192,SPTBN4
TCGA-DE-A0Y2	LPAR6,POMT2,RIOK2,TGDS,JMJD1C,ATP10A,DNAAF2,FBH1,FFAR4,PLEC,RAI1,TDRD7,VAPA
TCGA-EM-A3SX	BRAF,TLR7,PLXNA2,TTK,FSHR,ID4,YES1,OR5M1,LTBP1,BCAN,CNTN5,DOCK10,MORC4,NR0B1,SLCO2B1,TDRD7,TNRC6A,TPBG,ZFC3H1
TCGA-H2-A26U	BRAF,LAMA4,MS4A2,CUX1,HIF3A
TCGA-IM-A41Y	BRAF,HLA-C,PSMC5,HTR2C,TNC,TJP3,BOD1L1,CATSPER4,DDX54,HELZ2,MKLN1,NETO1,SLC30A5,SPTBN5,TEX15,TRIP13
TCGA-BJ-A3EZ	PIK3CA,BRAF,SRC,CAMK2A,AOC1,DHX8,DNAH9,ABL2,LATS1,CLIP2,FLII,INTS1,USP9Y,UTP4
TCGA-EM-A3SU	BRAF,IRS2,DDX46,SEPTIN12,PDSS1,SEMA5A,CCT6B,CILP,LARP7,RARRES2,SACS
TCGA-EM-A4FN	BRAF,GRIA4,ARID2,RIMS1,TPO,PHLPP1,AHNAK2,ETV1,AGFG1,BTN3A3
TCGA-DE-A69J	BRAF,CNGB3,RBBP6,TEX14
TCGA-DJ-A3US	C4BPA,SMARCA5,ZIC2
TCGA-ET-A25O	BRAF,OCLN,SEC24D,MAN2C1,LRRC37A2,NOLC1,PKHD1
TCGA-E8-A415	BRAF,NLRC4,NPSR1
TCGA-DJ-A2Q7	BRAF,FUT9,FCGR2B,MLLT1,MAP1B,MEF2C,MYH8,ZBTB26
TCGA-EM-A3O8	BRAF,GFI1,MOV10
TCGA-ET-A3BT	BRAF,TTK,RNF7,WASHC2A,KMT2E,CCNT1,DSC3,IGFBP5,PPP4R1,RNF128
TCGA-EL-A4JX	BRAF,SYF2,GPAT4,PHKA2,MAN1A1,GPR4,KRT9,PELI1,TNNT3
TCGA-EL-A4K1	BRAF,CYC1,CACNA1D,ABO,ATRX,DENND2B,TBC1D32
TCGA-E8-A2EA	BRAF,PFKP,CSF2RB,KCNU1,TBC1D1,PDS5A
TCGA-IM-A3U2	BRAF,CPT1C,DNMT3A,POLR2B,DNAH8,ELOVL1,SETDB1,HEATR1,KMT5B,AP3D1,ASH1L,DBH,LGR5,ATP4A,SEPTIN6,SIGLEC1,DEPDC5,DNTTIP1,FOXR2,KDM2A,MUC16,PPP6R3,PRDM1,PSG8,SLC22A2,SYTL3
TCGA-DJ-A2Q5	BRAF,ITPR2,DLG1,CTTNBP2
TCGA-ET-A3DW	BRAF,ACVR2A,MYLPF,KDSR,SLC34A2,ZFP36,BMPER,NKX2-1,PHF21A,TSC22D2,ZFHX3
TCGA-EL-A3ZS	TTN
TCGA-DJ-A2Q0	ADCY8,LAMA5,RYR2,GNAL,MCM3,CYP2A13,AP1G1,ICMT,PTPRZ1,DEFB118,FOXK2,OTOP2,R3HCC1L,RINT1,SLITRK3,TACC2
TCGA-DJ-A2PN	BRAF,DNAAF5,PDP1,PIBF1,VGLL3
TCGA-DJ-A1QG	NRAS,ITGA10,H4C11,THBS2,CHEK2,INHBC,DMP1,ARMT1,CDH11,NOMO1
TCGA-J8-A3O2	BRAF,GBA2,BTD,HNRNPD,PPP1R9B,WAPL
TCGA-DJ-A3UT	NRAS,COX7B,C4A,NT5C1A,GRIA1,GRIA2,RBMX2,THEMIS,VGLL4
TCGA-L6-A4ET	BRAF,KYNU,PDSS1,UBE4A,FLII,KLHL2
TCGA-BJ-A0ZC	H4C13,PIK3R5,PLOD1,FOXQ1,HIF3A,RBPMS,ULK3
TCGA-FE-A235	BRAF,NPR1,CACNA1G,CASP10,IARS1,APOA4,KCNN3,PRDM9,CGB1,PHF6,SLC22A2
TCGA-EL-A3CV	BRAF,CNR1,SCN3A,PTCD2,ZBTB24,ZKSCAN3
TCGA-DJ-A3V4	BRAF,ATG2B,MUC16,SEC16A,STATH,TNRC6B,XRCC3
TCGA-FE-A232	BRAF,CACNA1C,CHST10,SLC34A2,ASH1L,KIF4B,ORC1
TCGA-FE-A22Z	BRAF,HLA-DMB,HDAC5,COL5A1,TAF8,CTSW,F8,RHOQ,CENPI,CPLANE1,MIB1,PPEF1,RAI1,SH3PXD2A,SORCS3,USP9X,ZNF207
TCGA-KS-A4I1	BRAF,TLE3,SLIT2,JAKMIP1,MSLN,PCDH11X,PLEC,TMLHE
TCGA-ET-A40R	EPN1
TCGA-MK-A4N7	BRAF,FGFR2,GABRQ,RELN,ZNRF3,HUWE1,ACOT7,VPS11,SIKE1,AKAP12,CDC42BPB,EGFL8,FBXL5,LOXL2,MAP2,MCM8,MYT1L,SVEP1
TCGA-ET-A4KQ	BRAF,TG,AGFG1,FBXL20,HECTD1,PURA
TCGA-CE-A3MD	DNAH8,TG,ARSI,ERC1,GOLGB1,NOX5
TCGA-DJ-A13V	BRAF,ALOXE3,DNAJC13,MUC16,NRIP1
TCGA-EL-A3CR	PIK3CA,BRAF,IGF1R,H2AC12,CPSF6,H2AW,CHRM5,DMXL1,AJAP1,CCM2L,CIDEA,DNAJC17,FASTKD3,KRTAP4-12,SIX5,TBL2,TSPYL2,UVSSA
TCGA-EL-A3GV	BRAF,NF1,CNGB1,ATRX,CEP192,KIF27
TCGA-FY-A76V	MAP2K1,NDUFA9,RYR1,CLCA4,ARHGAP4,CDK14,DPY19L2,NAIF1
TCGA-DJ-A3VB	BRAF,MCM4,PCBP1,SLC40A1,LRPAP1,FPGT-TNNI3K,MYCBP2
TCGA-BJ-A0ZG	PPP1R3B,SMUG1,MYO5C,CLIP3,EIF1AX,TRMT5
TCGA-EL-A3TB	POLE2,VCAM1,EPHA6,DCC,GRM4,TTN,F2RL1,WWC1,GPN1,MUC17,PRKAR2A,RBM15,ZNF592
TCGA-IM-A3EB	BRAF,TTN,PLA2R1,LRPAP1,BDP1
TCGA-E8-A44M	GIMAP6,MOV10
TCGA-MK-A4N6	BRAF,KMT2A,BACH1,BMP1,CREBZF,KIF4B,PRR5-ARHGAP8,SLCO6A1
TCGA-ET-A39N	CSPG4,SYNPO2,UBQLN3
TCGA-FK-A3S3	IL13,NCK1,ALK,EPRS1,MYO5C,TMC1
TCGA-FY-A3YR	BRAF,STT3A,DEGS1,CPT1A,COL6A6,ARFIP2,FLG,MYO18B,PDZD2,PGBD5,QTRT2,RC3H1
TCGA-EM-A2CN	NRAS,ADCY9,H3C13,PSMA6,LAMC3,SF3A1,TBC1D7,FARP2,ARVCF,CDHR1,FAT3,KCNA4,KLHL24
TCGA-DJ-A13L	BRAF,DVL3,ANGPT2,CTSS,POLE,DOLK,RYR1,FBN1,EEF1A2,STAM2,PRKDC,DUSP5,HSD3B7,TBX3,OR7A5,TYRP1,CUL9,EIF4ENIF1,FERMT1,GFRA3,HYPK,SPTY2D1,STK31,WDR45B,WDR76
TCGA-DJ-A13M	HRAS,MARCHF1,SLC5A2,TBX20,WDR62
TCGA-DJ-A3UQ	BRAF,CD5,ADSS2,FPR2,MAP2K6,CLCN5
TCGA-EL-A4K2	NRAS,UBC,SLC22A7,UBR5,CFAP74,DNAJC11,USP5
TCGA-ET-A39I	HRAS,TCF7L1,ATG2B,MLLT1,ZNF777,BPTF,EPG5,KLHL41,MEPCE
TCGA-EM-A22M	BRAF,DYNC2H1,NECTIN1,TTF2,AP5B1,FAM155A,GRXCR1,NUDT8
TCGA-E8-A414	BRAF,PIK3CD,DDX23,DOCK2,SPTA1
TCGA-EL-A3MX	BRAF,CXCR1,HIBADH,MAP3K3,IMPDH2,VAMP3,FANCM,NRXN1,COL11A2,ETV5,MDN1,ATAD5,C19orf57,DHX32,DPH1,E2F8,HELZ2,LEMD2,LYAR,PHLDB2,STAC3,TBC1D22B,TEP1,TRIO
TCGA-ET-A40T	ATP2B3,GLUD1,AMPD3,H4C7,CAPN1,MAP1LC3B2,SRGAP1,NFIA,PAX5,RBFA,REG1B,TDRD7,ZNHIT2
TCGA-EL-A4K0	BRAF,TTN,SSX1,ARCN1,BCKDK,GPC6,HMCN1,LCE1C,NRROS,SETD5
TCGA-DJ-A2Q9	PIK3CB,FZD8,MGAT5B,AP3B1,ABCB7,DOCK10,MKI67,PTPRN,WDR49
TCGA-EL-A3GZ	BRAF,H2BC4,MSH2,HTR3A,MEX3A,PODXL
TCGA-EL-A3T8	BRAF,ATP6V1C1,FECH,ZDBF2
TCGA-EM-A4FQ	BRAF,TGFBR2,NUP93,COL8A2
TCGA-EM-A3AK	BRAF,IL22,CATSPERE,MCC,S100A6,TRIM28
TCGA-FK-A3SE	LRRFIP1,SLC12A4,TMEM250,ZCCHC10
TCGA-EM-A22P	BRAF,TBK1,ATG2A,H2BC7,ABCA4,DDX56,MUC16,RALGPS2,TIE1
TCGA-DJ-A2Q4	BRAF,NUP93,DNAH3,CD163,CDH10,SEC16A
TCGA-DJ-A1QO	BRAF,DNAI2,TTN,CNGA4,ARID1B,ADGRV1,HTATIP2,MYCBP2,NAV3,PCDHA8,SHLD2,ZNF397
TCGA-BJ-A45I	BRAF,ANK2,C11orf58,CDH4,LRGUK
TCGA-DJ-A2PY	BRAF,NDUFA6,ITGA8,SGK1,SRR,CLSTN1,MYOM2
TCGA-ET-A2N4	BRAF,H3C13,COL1A2,ACACB,FOXP3,CGN,ATP1A2,CYSLTR2,HACL1,ADGRG3,DCAF13,PHLDB2
TCGA-EM-A1YA	PKM,ENPP1,EIF1AX,PSG9,SLC10A5,SPRED2
TCGA-EM-A3FP	GNG5,TJP1,SMC3,EGFL8,HGD,INTS1,MOB4,PMS1,TBL2,YLPM1,ZBTB22
TCGA-CE-A485	GYS2,RASGRF2,ZFPM2
TCGA-EL-A3ZL	BRAF,PC,PRDX6,MYH14,PDE4A,GJA1,IL12B,CR1,COL14A1,EXT1,DNAH10,IGFBP1,TNRC6C
TCGA-DJ-A1QD	BRAF,AMPD2,ACAN,RIC1
TCGA-KS-A41F	BRAF,AFMID,AP4M1,BCL9,FARP1,GPRIN2,LRRC14,REG3A,SYNE1
TCGA-DJ-A4UP	CDC5L,DHX16,ZNF74
TCGA-DJ-A2QA	BRAF,ITGB3,RALB,ARHGEF2,KMT2C,CRP,DNASE2,ELF4,FRS3,PDS5B
TCGA-CE-A481	MED12L,SUOX,BCHE,ESS2,PKHD1,USP6
TCGA-ET-A3DQ	CASP7,CITED2,KLHL14,ZDHHC8
TCGA-EL-A3MW	BRAF,PGM2,GAA,DCC,KSR2
TCGA-DJ-A4UT	UGT2B7,EIF2AK2,GRIN2B,NPPA,C6,STT3A,FBN1,ABCA9,IDI2,WDR33,GBF1,CHST10,ABCA5,ARHGAP4,BCL2L12,LNPEP,PHKA2,TARBP1,USH2A
TCGA-EL-A3ZQ	BRAF,SMCR8,ACSS3,TG,FOLH1,UGGT2,NTNG1,DIP2C,DNAJC12
TCGA-EL-A3CT	BRAF,ERBB3,ATM,ICAM1,LAMB2,EZR,ATP6V1G2,H3C6,PI4KB,CLDN6,PTCH1,KPNA1,CBR3,CDK5,POLB,RFX5,TP73,CCDC6,FARSA,AHNAK,ALG3,ATP7B,DUSP6,GLCE,POU5F1,WWC1,PELO,YES1,ARHGEF18,ATP12A,GLP2R,OR4K17,PTPRZ1,ADGRA1,ADGRE3,ARFIP2,ARSH,BICC1,DMTN,DPP3,DTNA,EED,EHBP1,FAM155A,KANSL3,KCNV2,KRT18,LONP1,LRP10,MBD1,NAAA,RAB32,RCC1,RIC1,RPRD1A,TOMM20L,ZC3H18
TCGA-H2-A3RH	KRAS,EEF1A1,TUBG1,DLG5,PHF3
TCGA-L6-A4EP	BRAF,NDUFS1,ATG12,SF3B1,SDC2,HUWE1,GFAP,TESPA1
TCGA-EL-A3T3	BRAF,AFDN,RASGRP1,GPAM,RBBP4,FLNA,LIPT1,BPTF
TCGA-DJ-A3UN	BRAF,GRIN2D,GFPT1,YWHAE,MX2,TK1,WDR33,ADRA1A,CNOT7,TWIST1,MBIP,PITPNM1,SUPT6H
TCGA-EL-A3ZP	PPARGC1A,XDH,SH3PXD2B
TCGA-E8-A3X7	BRAF,NEU2,FRMPD2,HECTD1,NIPBL,PTPRD
TCGA-EL-A3GW	NRAS,TAB3,FANCG,MAPKAPK3,TNPO3,CHD9,DBNL,MED31,MED6,NPHS1
TCGA-KS-A4ID	HSP90AA1,SLIT3,BPTF,GLRB,MARK3,RIMBP2,TNFAIP2
TCGA-MK-A84Z	HRAS,GRIA1,CPEB4,RPS6KA4,SLC29A1,KLF4,PPP1R3A,ABCC9,AHRR,BRDT,CASZ1,ERMARD,GIMAP6,SLC25A15
TCGA-EM-A1CU	BRAF,VAV2,HSPA8,OAS3,H4C2,DYNC1LI2,NCKAP1L,MAGED1,CRYBG1,TSPAN14
TCGA-KS-A4IC	BRAF
TCGA-J8-A3YH	BRAF,DOCK8,ZFHX3
TCGA-FY-A3ON	BRAF,SUFU,DNMT3A,MAP1B
TCGA-EM-A3O6	PIK3R1,PTEN,PDGFRB,APAF1,ATP1A1,MYO6,MARCHF6,CASZ1,DHX30,NEB,PHF8
TCGA-EM-A3FR	FASN,GAD2,INPP5D,TG,SNAI2,ASAP2,SPOP,FMNL1,MUC16,PNLDC1,SLC9A6,XPR1
TCGA-ET-A39O	BRAF,MST1,DSE,CDK11A,DCAF5,MYBBP1A,PLK2
TCGA-FE-A3PC	BRAF,PIK3CA,DNM2,ETS1,TUBB2B,COL2A1,FNBP1L,MYO1D,ADGRL3,MYBPC2,PPP1R8,ZNF500
TCGA-BJ-A0Z3	BRAF,CTNNB1,C3,RASSF1,KLHL40
TCGA-BJ-A2N7	NRAS,DNASE2
TCGA-ET-A3BW	BRAF,FGFR1,HSPA5,TTN,TPM4,PPM1D
TCGA-EL-A3H4	BRAF,ABCC2,DUOX2,EMC4,MUC16,SLC6A8
TCGA-DJ-A3V7	BRAF,TLR3,CPT1A,HSD17B3,MYLK,CFTR,BRF2,DMXL1,GAK,LMOD1,MED12L,MUC16,MYH1,PXK
TCGA-EL-A3CU	BRAF,FGF20,GPR119,WASHC2A,DGKQ,PRDM16,ALG10B,TTN,BSN,CHCHD2,CYB5D1,FLG2,MICALL1,MORF4L2,MYH15,PCLAF,PPRC1,RGS18
TCGA-EL-A4KD	IRS2,GABRA2,SLC9A3R1,ECSIT,IRF5,ALG13,DOCK7,GCN1,PDE4DIP,S100A7
TCGA-EL-A4JZ	BRAF,AKT2,TGFB2,PREX1,NCAM2,CLIC2,DCLRE1B,ERAP2,SORCS3,WRAP53
TCGA-DJ-A3V2	KIT,BRAF
TCGA-IM-A4EB	BRAF,DVL2,ITGB2,GBA2,RPL13A,AP2B1,ADAMTS2,ANXA7,INF2,RAB3IP
TCGA-ET-A25I	NRAS,LAMC1,PLXNB3,TG,NHS,PCDHA6,SYNE3,TTF1,UNC45B,VWA7,ZFHX4
TCGA-EM-A2CJ	RPL4,IFI16,TCF3,TRPM5,COPG1,ERGIC2,FRRS1,MIA3,MUC16
TCGA-ET-A25R	BRAF,ITGA8,ADH7,ADGRV1,DHX30,MESP1,TNRC6B
TCGA-CE-A482	RAF1,ADGRA3,DIP2C,LRGUK
TCGA-EL-A3TA	BRAF,PITPNM3,ZSCAN18
TCGA-EL-A3N2	BRAF,CACNA2D3,LAMTOR5,CBX6,KCNA7,NLRP5,NXF3
TCGA-J8-A4HY	BRAF,ABL1,PC,NGF,DGKB,CRHR1,BIN1,HCN1,ANKLE1,AP5B1,COG4,MUC2,POR,PPAN-P2RY11,PTPN13,RTF1,TECPR2,TRIM23,UTP20
TCGA-EL-A3MY	BRAF,E2F3,CACNA1A,COL4A4,CD3D,TTN,PITX2,AGR2,CDH11,HYPK,TACC2,USP9X,ZNF207
TCGA-E8-A434	BRAF,SDC1,MKNK2,FBXW7,KIF4B
TCGA-E8-A437	BRAF,ITGAV,PGK2,ITPA,ALG13,CLK1,SLIT1,RSF1,SLC12A6,SYTL5
TCGA-DJ-A2Q6	BRAF,CYP2C9,ZNF804A
TCGA-EL-A3H8	BRAF,DNAH2,CACNA1E,LRP1B,SNAP47,ZAN
TCGA-EL-A3CL	BRAF,KAT2A,DSCAM,MRPL41,ZFHX3
TCGA-EM-A3SY	RPTOR,SCN5A,MGAT4A,ZEB2,OR5B17,BRWD3,GPRC5D,LYST,OTUD7A
TCGA-FY-A2QD	GABRB2,SLCO1B3,DLGAP2,ESX1,HPS1,MECP2,SLC23A2,STK38
TCGA-EL-A3CX	APC,PISD,FLNC,RALGAPA2
TCGA-DJ-A13T	BRAF,SLC38A4
TCGA-CE-A484	HLA-B,PINK1,CHEK2,DPYD,PPID,TFE3,SH2D2A,BDP1,ZSWIM8
TCGA-4C-A93U	BRAF,NDUFS2,H3C10,CDKN2A,ALDH2,MAP3K1,ANPEP,ECHS1,HTRA2,RICTOR,DNAJC3,ARID2,RBM22,EXOSC10,LLGL1,PLCL1,SPART,TNPO2,ALKBH6,CRYBG1,DNAJC13,EIF3F,ESF1,GDI2,H1-10,HERC1,INCENP,KANSL2,KAT6B,MDC1,PXDNL,RCAN1,STXBP3,TBR1,THSD7A,TWNK
TCGA-DJ-A4UW	BRAF,APC,GLA,RCVRN,NSD1,PSMB1,TSPYL1
TCGA-ET-A39K	BRAF,AHR,FLOT2,ARFGEF2,EFCAB7,OSTC
TCGA-EM-A2CL	MPO,AGL,GABRR2,OR2L13,EIF1AX,LRRIQ3
TCGA-EM-A2P1	BRAF,XRN1,FCGRT,PRRC2A,TRIM14
TCGA-FE-A23A	BRAF,IRF3,ARHGAP4,CD109,CIAPIN1,HNRNPH2
TCGA-E8-A433	BRAF,LYN,SF3B1,SNRNP70,RARA,LRRK2,MMP13,ASAP2,ADAM12,PCDHA6,SIAE
TCGA-EM-A3O3	BRAF,NFATC1,ITGB8,HK3,FLT3LG,RPL22,EPRS1,CPS1,CASP6,DDX42,PDCD4,SMG7,SOAT1,PCGF2,ZFYVE27,MUC5B,OR10G4,TRPV3,BDP1,BRAT1,GOLGA4,GULP1,NINL,OBSCN,OTUD7B,PKHD1,SCAF1,STAB2,ZMIZ1
TCGA-ET-A3BU	BRAF,GIT1,IPO11,PPRC1,SHLD2
TCGA-DJ-A4UR	NRAS,HUWE1,FYCO1,ADAMTSL2,LRFN5,NKG7,PCDHA1,PTPRA,TENM1
TCGA-FK-A4UB	UBR4,FBXO7,TRIP11,UNC13D
TCGA-CE-A3ME	BRAF,PDHA2,MED1,COPB1,MYH8
TCGA-EM-A3AP	NRAS,CPE,CYB5R2,DGCR8,IK,KIF14,PDPR
TCGA-EL-A3ZN	PGR
TCGA-DJ-A3UX	BRAF,STAB2
TCGA-ET-A4KN	CDKN1A,ITGA7,MMP2,PTK2B,GLI2,ADD2,BOD1L1,CASZ1,MED11,MON2
TCGA-FY-A3BL	BRAF,KMT2A,RXFP1,C12orf66,TBCC,ZW10
TCGA-EL-A4KG	BRAF,LAMC3,LIPE,PI4KB,TCF7L1,BCL6,NRP1,ANAPC15,ELOVL1,TAS1R3,P4HB,TAS1R1,AKAP13,EXT2,RHOQ,MST1,NDUFAF6,VTA1,KMT2C,RIOK2,CEP128,CHGB,DPP3,DST,FAT3,GAK,HECTD4,MUC17,NCAPG2,PHLDB2,RPTN,TAGAP,TBX18,TRIM24,TRPM3,TSSK2,ZNF436
TCGA-DJ-A3UV	CX3CL1,CSGALNACT2,GCN1,HHEX,HPS1,STON2
TCGA-EM-A4FM	BRAF,IL2RG,SETD1A,SENP2,CYP2F1,SHANK1,CDYL2,CEP152,MAGEA11,MYH2,PKHD1,PPP1R26,TULP1,USP9X
TCGA-BJ-A3F0	GNAS,TG,CRY1,NPAS2,ACAP1,DOCK5,KIAA0895L,TIPARP
TCGA-EM-A3AO	ITGAL,PDE5A,MYH6,TG,NEK8,TNKS1BP1
TCGA-FY-A4B3	BRAF,AGPAT2,KCNC3,CDH6,DEUP1,EIF3E,PPL,SPACA9
TCGA-EM-A2CM	HRAS,CAMK2A,IRS1,H4C12,SEC24D,TG,ANK1,IRAK3,RORB,AGAP6,ZNF227,AKAP10,COBL,ECHDC2,LARP4B,RBM10,RNF19B,TUT1,UBASH3B,ZBTB2
TCGA-J8-A3YE	BRAF,ATM,ADSS1,SPTA1,CASZ1,KDM2A,RIC1
TCGA-DJ-A4UL	BRAF,DRD4,BHLHE40,DNAH9,EVPL,GLIS3,GOLGA3
TCGA-EL-A3GQ	BRAF,LAMB1,VTN,GRIN2A,DDX39A,MED31,SEC22C,SENP6,SERPINH1
TCGA-BJ-A3PT	NRAS,CHEK2,PDE1A,RAPGEF6,GEMIN5
TCGA-ET-A40P	HRAS,F8,UNC13A,BCORL1,DDX60,KLHL22,WNK2
TCGA-EM-A22K	HRAS,ANTXR2,AKAP11,DLGAP5,NFAT5
TCGA-EL-A4KI	NRAS,RB1,WNT11,GABRA2,TAF2,TTN,ECSIT,CDH23,GCN1,IGSF9B,KCTD2,KIAA0930,PKP4,RP1L1,SLC47A1,SLITRK1,SRRM2
