TCGA-EL-A3T3	BRAF,BPTF,FLNA
TCGA-ET-A3BW	BRAF,TTN,HSPA5,PPM1D,FGFR1,TPM4
TCGA-ET-A25R	BRAF,TNRC6B,ITGA8,ADGRV1,DHX30
TCGA-E8-A419	BRAF,KMT2A,OR4A47,SHC3,CNTNAP4,NOCT
TCGA-FY-A3W9	NRAS,KIF4B,KDM2A,SACS,CYB5R4,ADAMTS2,HBS1L,COL6A3,CA13,PHGDH,ESCO2,FBXO44,CNGA3,SPHK1,CRISP2,DDX4,ICE1
TCGA-FY-A3TY	BRAF,ABCB11,SPSB3,PCDH17
TCGA-DJ-A2Q3	BRAF,TTN,GNAL,GPR151,TRPM4,FGD4,IFFO1,FCRL5,ACKR4
TCGA-DJ-A2PR	BRAF,MAP3K3,SUOX,SLC39A7,MYH14,THBS1,CRELD1
TCGA-EM-A4FF	BRAF
TCGA-DE-A7U5	BRAF,CELSR1,THOC5,FAM169B,SMARCC2
TCGA-FE-A234	BRAF,MACF1,USP32
TCGA-DJ-A3V7	BRAF,MUC16,MYH1,MYLK,CPT1A,GAK,DMXL1,PCDHB6,TLR3
TCGA-EM-A1CT	BRAF,ATM,HMCN1,TEX15,CCDC39,PIK3CG,MTMR8,DOCK4,H2BC5
TCGA-FE-A3PD	PLEKHG1,C7,LAMA3
TCGA-DJ-A2Q1	TRIP12,ATR,DYNC1I1,WNK4,C15orf39,CD209
TCGA-DJ-A3VK	UNC79,RAI14,TAF1L,ARCN1,MRPS18C,VMP1,XYLT2
TCGA-EM-A22O	BRAF,ATM,EPG5,CDH23,DNAH3,PKP4,MAP1A,CCDC39,ZNRF3,FZD8,SDAD1,CYP4F11,DDX60L,ATXN2,NIPSNAP3A,NAP1L1,CDK15,SULF2,ATXN7L2,CARS1
TCGA-DJ-A2PO	SETBP1,ADCK2
TCGA-EL-A3N3	BRAF,SYNE1,TCF7L1,MDN1,MYLK,TENM2
TCGA-DJ-A1QL	PPM1D,TAF1L,SLITRK3,WRN,C9orf72,USP28,HS3ST4,SLC22A11,PPFIA4,SIDT1,GALNT18
TCGA-BJ-A0Z9	BRAF,USP9X,PDZD2,PXDNL,PLEC,VCAM1,KCNV2,CRYBG1,SLC26A9,APOB,TAX1BP1,ARMCX2,PTH2R,CCAR2,CFAP300
TCGA-IM-A41Y	BRAF,BOD1L1,HELZ2,TNC,TEX15,OR5M3,CATSPER4,PSMC5,DDX54,HTR2C,TJP3,ZBTB43,HLA-C,TSGA10,TRIP13
TCGA-EL-A4KH	BRAF,ZNF777,TAPBP
TCGA-EM-A3O7	BRAF,MYH1,PDZRN4,SLC39A7,COL1A1,ZNF563,WIPF1,TAS2R20,VNN2
TCGA-ET-A3DQ	CASP7,ZDHHC8,CITED2
TCGA-EL-A3H1	TG,FBN1,PLXNB3,MPPED1,GPR151,SCN3A,SEPTIN6,CETP,SPRR2E,STRA6,GBP5,CHD4,DKC1,CHD3,SH2D3C,ABCG5,PSMC3IP,ACSM5
TCGA-EL-A3T8	BRAF,FECH
TCGA-EM-A3AP	NRAS,DGCR8,KIF14,CYB5R2,PDPR
TCGA-EM-A22J	NRAS,NLRP4,PCDHB5,FBN2,IL16,CLDN15,BCAT1,LDLRAD3,ADH4,DIDO1
TCGA-FE-A235	BRAF,PRDM9,CACNA1G,IARS1,DCAF12L2,NPR1,CASP10,KCNN3,APOA4,CGB1
TCGA-DJ-A2PU	BRAF,ENPEP,UBE2O,SPTBN1
TCGA-EM-A4FO	BRAF,ATP1A2,ACOXL,BSG,PLCB1,OTUD5
TCGA-DJ-A3UP	NRAS,SDC3,VIPR2,PRMT1,CTR9
TCGA-DJ-A13W	NAV3,TNS1,CACNA1B,KANK2,EPHB1,ENGASE,TPH2,OR2L3
TCGA-DJ-A1QF	BRAF,MUC16,SRPK2,STC2
TCGA-DJ-A3UR	BRAF,GNAS
TCGA-KS-A4I7	BRAF,NOTCH4,ERBB4,TAF1
TCGA-EM-A3O8	BRAF,MOV10,GFI1
TCGA-ET-A2N1	NPAP1,SLCO6A1
TCGA-EL-A3ZH	NRAS,KMT2A,MED15,CCDC136,BRCC3,ATXN2L,CRACR2A
TCGA-DJ-A3VG	NRAS,LAMA4,TGM6,GSTO2,GTF2H1,AIFM3,ATXN7L1,ENTPD7,TONSL,TARS1
TCGA-DJ-A13T	BRAF,SLC38A4
TCGA-KS-A4IB	CHEK2,DNAH9,CUX1,BSN,RET,HIF1A,FCRL2,PDE4B,LRRC49,NSUN6,UBA7,TFR2,NIPA1
TCGA-EL-A3CZ	HRAS,GNPAT,PHIP,BTRC,RAPH1
TCGA-DJ-A3UX	BRAF,STAB2
TCGA-FK-A3SD	ITPR2,TBC1D22B,PRKD1,ZBTB22,ARMC3,UGT2B7,LSR,PA2G4,MYO1C,ELMO1,ZNF611,ZC3H12C,TMPRSS11B,SRPRA
TCGA-DJ-A3V8	BRAF,AOC1,DNAH7,RBM12B,TGOLN2,SUV39H2
TCGA-EM-A3OA	NRAS,HSPA5,JMJD1C,EPG5,ANK2,PLEKHG1,KANSL2,OR4X1,SNTA1,DPPA4,ASPSCR1,MFSD6L,ZNF785
TCGA-H2-A26U	BRAF,CUX1,LAMA4,HIF3A,MS4A2
TCGA-FK-A3S3	MYO5C,ALK,EPRS1,NCK1,TMC1,IL13
TCGA-J8-A3O1	LDHA,PRKD1,CKAP2L,TSFM,MUC5AC,MYH2,SRSF5,LTF,ZNF713,ALCAM
TCGA-EM-A2CS	BRAF,NOTCH4,KIF19,TEAD1
TCGA-DJ-A3UU	BRAF,ALG13
TCGA-EL-A3CW	YWHAG
TCGA-ET-A3DV	SHLD2,TP73,NOX5,ZNF341,GZMM,CACNG8
TCGA-FY-A3R7	BRAF
TCGA-EM-A1CV	BRAF,USP9X,CTNNAL1,SUFU,ADGRG4,CHRND,NCR1,SVOPL,EXOC2
TCGA-ET-A2MY	BRAF,EVPL,SACS,UGGT2,CAND1,GRIN2B,ABL2,KAT2A,GRIK1,ZNF786,PPIG,PNOC,JUN,PIP4K2C,SEMA3A,DNAAF4
TCGA-FK-A3SH	BRAF,C2CD3,RET,SLCO2B1,DNTTIP1,ZMIZ1,BTK,STAT2,HOXD12,USP2,CFH
TCGA-EM-A3FR	TG,MUC16,FMNL1,ASAP2,SNAI2,GAD2,SPOP,FASN,XPR1,INPP5D,PNLDC1
TCGA-ET-A25J	BRAF
TCGA-DJ-A1QQ	BRAF,PPL,ZC3H11A,SCN5A,CACNB1,MMP3,CANX
TCGA-FY-A3R9	NRAS,HMCN1,FMNL1,AASDH,CSMD3,KRR1,COL11A1,SIGLEC6,PZP,SEPSECS,SERPINB3,RAB5C,POMC,SIDT2,TRIM39,SERPINB4,PRDM4,OR2M5,ODR4,PCDHGB5
TCGA-E8-A433	BRAF,LRRK2,ASAP2,SF3B1,SIAE,SNRNP70,LYN,MMP13,RARA
TCGA-FY-A3ON	BRAF,DNMT3A,SUFU,MAP1B
TCGA-ET-A40T	TDRD7,ANO3,ZNHIT2
TCGA-J8-A3O0	NRAS,GOLGB1,DNAJC11,FANCD2,LTBP3
TCGA-DJ-A2QC	BRAF,NSL1,SLC12A9,NANOS3,CDCA2
TCGA-DJ-A2PY	BRAF,ITGA8,SGK1,NDUFA6
TCGA-ET-A39T	BRAF,CAND1,ALK,SPNS1,THOC2
TCGA-EM-A3AJ	CNTLN,ADAMTS18,TRAFD1
TCGA-DJ-A3UN	BRAF,TK1,SUPT6H,GRIN2D,ADRA1A,CNOT7,YWHAE
TCGA-EM-A2CK	HRAS,FHL3,LRRC8A,MOG
TCGA-BJ-A45J	BRAF,SPTA1,BTBD2,MICAL2,CHRNA10,CYP1A2
TCGA-EL-A3CL	BRAF,ZFHX3,KAT2A,DSCAM,HIVEP3,MRPL41,GATA5
TCGA-EL-A3GZ	BRAF,ELFN2,HTR3A,MSH2,H2BC4
TCGA-E8-A432	TTN,ZC3H13,PIK3R5,PDZD2,DOCK7,KMT2D,ADGRB3,ARSK,BTN3A3,LNPEP,TTLL5,OR5D13,KAT5,SLC35D3,SLC22A6,NPAP1,PLCH1,POU2AF1,SLC35G2,ZNF76,MTERF1
TCGA-DJ-A2PX	CYP11A1
TCGA-E8-A436	BRAF,DRD4,WLS,FAAH,OR5L1,HCAR3,AK7
TCGA-ET-A3BO	BRAF,TG,LTBP1,H2AX
TCGA-DJ-A3US	ZIC2,TGM6
TCGA-EL-A4K9	BRAF,ITPR2,EPHB6,AMPD2,HSPG2,SCN8A,TFAP2B
TCGA-EL-A4K6	NRAS,TTN,PRKDC,CTNND2,MACF1,DIS3,RAP1A,SH3PXD2A,PITX2,RANBP6,SLA,SHANK2,FCRL2,ADCY1,PFKFB4,SCN11A,ZNF2,TIMMDC1,FBXO11,ORM1,LRRC3,C12orf71,TIFAB,H4C5
TCGA-DJ-A2PW	BRAF,PPM1D,CSMD3,KMT2C,TNRC6B,FHL3,TRPM4,PPAT,OTOA,HOOK3,MINDY2
TCGA-J8-A3YH	BRAF,ZFHX3,DOCK8
TCGA-EM-A22K	HRAS,NFAT5,DLGAP5,AKAP11
TCGA-FK-A3SE	SLC12A4,SLC1A6,LRRFIP1
TCGA-EM-A22L	NRAS,HMCN1,PROS1,VWF,GUK1,STAG3,GPR87,SCEL
TCGA-FY-A3RA	BRAF,ASB12,SBNO1
TCGA-DJ-A3V6	BRAF,PLEC,LRP10,KCNC3
TCGA-E8-A437	BRAF,ALG13,PDZRN4,ALPK2,PGK2,SYTL5,ITGAV,RSF1,SLC12A6
TCGA-EM-A4FR	CACNA1B,SNRNP48,KIF25,CLSTN2
TCGA-EM-A3FN	ACTB,TP53BP1,EIF1AX,PRPF8,SP1,SLC25A13,SYTL3,ANKRD54,ADCK1,AVP,CPOX,ARX,MOV10L1,OR5K1
TCGA-EM-A22P	BRAF,MUC16,USP48,ABCA4,TBK1,ZNF185,TIE1
TCGA-DJ-A3V0	BRAF,USH2A,DNAH17,KMT2D,CTNNA3,CDK19,ESR1
TCGA-EL-A3GP	BRAF,SYNE1,ACACB,NOS1,ASXL1,USP6,PCDH15,FAAH,UBP1,SUPT20H,CCDC54,RAB3GAP1,AGGF1,CYTH4,KIAA1755,ALDH1L1,DOCK3,ZNF746,OR2T27
TCGA-ET-A2N4	BRAF,PHLDB2,ACACB,DCAF13,ATP1A2,H3C13,FOXP3,CGN,COL1A2,CYSLTR2
TCGA-E8-A417	BRAF,TTN,ZFHX3,MKI67,PDZD2,ABCB11,ATP4A,CR1
TCGA-EL-A4K2	NRAS,UBR5,DNAJC11,UBC,SLC22A7,USP5,CFAP74
TCGA-CE-A27D	PTPRZ1,RAI14,MCMBP
TCGA-EL-A3T2	NRAS,NIPBL,DNAH8,KDM2B,MAGI1,STAG2,NSD3,UBR3,THBS3,FCN2,TMX3
TCGA-IM-A3EB	BRAF,TTN,BDP1,HS3ST5
TCGA-EM-A1YD	WT1,ASMT,ZFP42,SKAP2,PTPRT
TCGA-EM-A3AI	TG,CSMD3,GRIK1,ELL,PRPF6,NEDD4L,PI4K2B,GPX8,SPATA25,EFNB3,ADGRD1
TCGA-DJ-A3UK	BRAF,FXYD4,HCAR1,B3GNT6
TCGA-BJ-A28Z	ARSK,STAR,GPC5,ITGB1,VWA7,CSGALNACT2,SMARCC2,KIF15,NUBP1,NIPAL3,GOPC,TNFSF4,ABCA3,MAP4K4,CGAS
TCGA-FY-A3BL	BRAF,KMT2A,ZW10,RXFP1
TCGA-L6-A4ET	BRAF,PDSS1,KYNU,PAQR4,ANGPTL7,KLHL2,UBE4A
TCGA-BJ-A3PT	NRAS,CHEK2,GEMIN5
TCGA-BJ-A2N9	UBR5,MYH1,ARVCF,WDR45,FILIP1,SEC14L4,SPOCK3
TCGA-FY-A40K	BRAF,PRRC2A,RTTN,CD38
TCGA-EL-A3T0	ZNF335,EIF2B5,PTPRJ,IL12RB2
TCGA-EM-A4FQ	BRAF,NUP93,TRPC7
TCGA-ET-A39N	UBQLN3,SYNPO2,LETMD1,CSPG4
TCGA-IM-A420	BRAF,IRS1,MYCBPAP
TCGA-FY-A3I4	BRAF,NUP214
TCGA-EM-A22Q	NRAS,POLR1B,RBM7,SIPA1L1,FRAS1,PTBP2,ZNF480
TCGA-EM-A1CU	BRAF,PCDHGA12,CRYBG1,OAS3,HSPA8,VAV2
TCGA-DJ-A3UM	BRAF
TCGA-EL-A3ZL	BRAF,PC,DNAH10,EXT1,MYH14,CR1,TNRC6C,PRDX6,COL14A1,GJA1,IL12B
TCGA-DJ-A3VE	BRAF,CACNA1B,COL12A1,APOL2,DERL1
TCGA-MK-A84Z	HRAS,CASZ1,ABCC9,GIMAP6,GRIA1,KLF4,CPEB4,SLC29A1
TCGA-DJ-A4UQ	PTPRZ1,NSD1,FOXK2,PADI1,DMTN,MTF2,STEAP3,CSDE1,REST
TCGA-EL-A3MX	BRAF,MAP3K3,HELZ2,MDN1,TBC1D22B,TEP1,PHLDB2,IMPDH2,LYAR,ATAD5,NRXN1,TRIO,FANCM,COL11A2,GPR101,STAC3,HIBADH,ETV5,DHX32,VAMP3,OGFOD1,LEMD2,E2F8,C19orf57,ZNF554,ZNF709,CXCR1,DPH1
TCGA-DJ-A3VD	BRAF,ITGA7,PKLR
TCGA-DJ-A3UT	NRAS,GRIA2,GRIA1,THEMIS,C4A,COX7B,NT5C1A
TCGA-DE-A4M8	CDH8,KDR,POFUT2
TCGA-EL-A3GV	BRAF,ATRX,CEP192,NF1,KIF27,UNC93A
TCGA-BJ-A0Z3	BRAF,C3,CTNNB1,RASSF1,KLHL40
TCGA-DE-A69K	CUX1,CELSR1,GAS2L3,PTPRR,CNR1,PAXIP1,ARHGEF40
TCGA-BJ-A0YZ	TEP1,CDH8,AXIN1,FRMPD2,DNAH5,FGD3,SCN1A,DDX3Y,CCDC38,HTR3C,PTPRK,SUGCT
TCGA-EM-A3AO	TG,NEK8,ITGAL,TNKS1BP1,MYH6,KCNG2
TCGA-BJ-A18Y	HRAS,TG,CYB5R4
TCGA-DJ-A3VI	BRAF,RET,DNAJC13,PIH1D2,ZIC2,CCDC136,ABCA12,EBAG9,NECAP1,FGGY,SOS2,MMP7
TCGA-DJ-A1QD	BRAF,RIC1,AMPD2,ACAN
TCGA-DJ-A13X	BRAF,CCM2
TCGA-EM-A1YC	ATM,AKR1D1,INPPL1,FLOT1,RUFY2,CCDC178,CDCP1,EGFL6,HAPLN1,ADGRL2
TCGA-FY-A3NN	BRAF,COL22A1,ITGAM,MICOS10
TCGA-ET-A2MZ	BRAF
TCGA-DJ-A1QO	BRAF,TTN,NAV3,SHLD2,ADGRV1,MYCBP2,TAAR5
TCGA-FY-A3R6	C11orf87,LETM1,SIRT4
TCGA-E8-A438	PIK3R5,SLCO2B1,MYF5,SYNPO2,ANO8,HELQ,BBS7
TCGA-EL-A3ZQ	BRAF,TG,DIP2C,SMCR8,UGGT2,FOLH1,DNAJC12,NTNG1,ACSS3
TCGA-EL-A4JX	BRAF,PHKA2,SYF2,GPR101,TNNT3,PELI1,KRT9,GPR4,MAN1A1,GPAT4
TCGA-DJ-A4V5	WDR11,POU2F3,DPP8,GNAO1,TBXA2R
TCGA-EL-A3MZ	BRAF,PPP2R1A,SRP68,NFAT5,PALMD,UQCRC1,TERT,RBM12B,SBNO1,SLC22A14,IGF2R,YTHDC1,PIAS3,ACVR2B,AP3M2,RERGL
TCGA-EL-A4KI	NRAS,TTN,SRRM2,RB1,GCN1,IGSF9B,TAF2,CDH23,PKP4,KCTD2,ECSIT,RP1L1,GABRA2,EFCAB5,SLC47A1,SLITRK1,WNT11
TCGA-DJ-A3VJ	BRAF,AKT1,BPTF,CATSPER4,APBA1,BIRC6,ANGPTL4
TCGA-EL-A3ZO	BRAF,TG,SPTA1,RYR1,SRC,PTPRZ1,TCF7L1,LYST,PIK3R1,KDM2B,SRP68,NFAT5,CNOT1,ATAD5,TET1,ARHGEF17,ATAD2,RP1L1,CRISPLD2,GRIN2A,PCDHB5,HLA-DPB1,C7,RNF113A,ITGA10,SPTBN4,THOC6,PSG9,APPL2,PSMD7,DMD,HSPA13,WASL,LY75,CHD1,PTPN3,ZKSCAN4,REV1,WDR6,LTN1,CATSPERG,GGCT,CEACAM8,LGSN,NDUFA7,SLX4,FHL2,IPO9,USP26,ZBTB32,FANCB,CDC7,SPG11,TMEM192,SLC17A7,CAMK2B,CLASP2,FRYL,SMG8,MVP,TRPS1,TMEM171,KCNS2,TENT5B,H1-2,NPY4R,BRD7,PARP10
TCGA-E8-A2JQ	BRAF,TENM1,AKR1D1,NCOR2,DOCK8,CHAF1B,TLR8,GPSM3,TUBB8,NES,FPR1
TCGA-EM-A1YE	MSI1,ZC3H4,DNAH7,DGKB,OR1J2,METTL2B,GRIK3,MRTFA
TCGA-ET-A2N0	BRAF,PIK3R5,IGSF9B,CHGB,CACHD1,TACR3,SLAMF8,SLC22A3,OR51G1
TCGA-DJ-A1QG	NRAS,CHEK2,THBS2,ITGA10,CDH11,MS4A12,C1orf112,NOMO1,ICAM3,H4C11,C16orf91
TCGA-EM-A2OV	ARID2,FRY,PLCE1,TET1,TM9SF4,EPHB1,ZNF234,GLP2R,THOC1,EZH1,PARD6B,DCST2
TCGA-FY-A3NM	DNMT3A,TPBG,CNTLN,DPP8,SLC26A8,B4GALNT1,C1orf210,INTS14
TCGA-BJ-A3PR	ENPEP,CEP192,SPTBN4,OR4X1,HLA-DRA
TCGA-BJ-A0ZF	FAT4,PPARA,LRRC8A,DNAH1,HLA-DPB1,PTPRD,ZNF106,NDC80,NLRX1,GOSR1,DIO1,CDHR5,MAP3K8,ARHGAP32,ZFYVE16,KMT5C
TCGA-BJ-A0ZE	KRAS,MEN1,PLXNB3,SPATA31A1,KIAA0895L,GPT,ABCB7,SCN9A,ATP2A2,MITF,ABCF1,SPATS2,RPUSD1,MFAP3L,ADM
TCGA-EL-A3D5	TP53,DICER1,ABCB11,SF3B3,AMDHD1,TSPYL2,HOXC11,NCAN,NPY1R,ORC2
TCGA-E3-A3E0	CPSF3,GOT1L1
TCGA-EL-A3GQ	BRAF,CCDC88C,MED31,GRIN2A,VTN,LAMB1,SENP6,ADAM8,SLC5A5,DDX39A,SEC22C,SERPINH1
TCGA-DJ-A2Q8	SPTA1
TCGA-E3-A3E3	BRAF,STXBP5L
TCGA-EM-A2P0	BRAF,ZFHX3,MUC17
TCGA-DJ-A2PT	BRAF,TBC1D7,B3GAT1
TCGA-DJ-A4UL	BRAF,EVPL,DNAH9,DRD4,OR4A47,GLIS3,MCCD1,BHLHE40,GOLGA3
TCGA-EL-A4KG	BRAF,TCF7L1,MUC17,KMT2C,CHGB,PHLDB2,HECTD4,AKAP13,DST,TBX18,GAK,TRPM3,DPP3,RIOK2,PI4KB,LAMC3,RHOQ,LIPE,EXT2,TRIM24,P4HB,BCL6,TSSK2
TCGA-BJ-A0ZH	BRAF,BRCA2,MUC16,SETD2,OR13F1
TCGA-H2-A3RH	KRAS,EEF1A1,DLG5,TUBG1,FAM71F1
TCGA-EL-A4K1	BRAF,ATRX,CYC1,ABO,CACNA1D,TBC1D32,DENND2B
TCGA-EM-A2CN	NRAS,C11orf87,ARVCF,TBC1D7,LAMC3,GRAMD2A,H3C13,ADCY9,KLHL24,KCNA4,PSMA6,SF3A1,CDHR1,FARP2,C6orf47
TCGA-EM-A22I	BRAF,ARFGEF2,ZFHX3,CACNB1
TCGA-ET-A3DU	BRAF,KMT2C,CACHD1,FCGBP,TIPIN,TRPM3,PLP1,ZGPAT
TCGA-EM-A4FU	NRAS,AAAS,NOL9
TCGA-ET-A3BN	BRCA1,USP49,SYTL2,ATP6V1B2,OR56A1
TCGA-CE-A3ME	BRAF,PDHA2,MED1,COPB1
TCGA-BJ-A45E	ZNF335,RBP3,ITGB7
TCGA-ET-A2MX	FLNA,TNC,KMT2D,RNF113A,ERF,CEP120,OR5I1,STIM1,DCTD,IL17RB
TCGA-DJ-A2PS	BRAF,NUDT5,HSD3B2
TCGA-DJ-A3V5	BRAF,RPGR,FRAS1,FANCI,TIMELESS
TCGA-IM-A4EB	BRAF,ADAMTS2,INF2,RAB3IP,AP2B1,RPL13A,DVL2
TCGA-E8-A418	BRAF,AKT1,RYR1,KMT2A,PPM1D,CPT1A,IARS1,PCSK1,GAS2L3,PTPRR,RTTN,PADI1,PPP6R3,DNMT1,DLEC1,ADH1B,EVC,SPHK2,PDHX,MCHR1,MUC6,CCN4
TCGA-EL-A3CM	BRAF,ABCC2,IL16,RIOK1,SLC35D2,IL17RC
TCGA-FE-A3PA	MEN1,CUL2
TCGA-DJ-A3VA	BRAF,TTN,TACC2,PPP3R2,TAX1BP1
TCGA-FE-A23A	BRAF,ARHGAP4,CIAPIN1,IRF3,OR4L1,HNRNPH2,CD109
TCGA-EL-A3GX	BRAF,ANKS1A,PSMA4,PRB2,CEACAM5,SLC39A14
TCGA-EM-A3FM	BRAF,NUP214,AKAP13,FRMD4A,PALMD,SLC15A2,MAPK4,ZNF136,ADARB2,DYSF
TCGA-EL-A3CX	APC,FLNC,RALGAPA2,MMRN1,PISD,OR5K4
TCGA-4C-A93U	BRAF,PXDNL,ARID2,DNAJC13,CRYBG1,EIF3F,PLCL1,HERC1,KANSL2,ZNF106,GDI2,CDKN2A,HTRA2,RICTOR,ALDH2,INCENP,MDC1,TBR1,EXOSC10,RBM22,MEOX2,FGD5,PLEKHH3,STXBP3,MAP3K1,ANPEP,NDUFS2,KIAA1549L,ECHS1,ESF1,THSD7A,ZNF711,H1-10,H3C10,PHACTR3,TNPO2,SPART
TCGA-EL-A4JZ	BRAF,AKT2,WRAP53,PREX1,TGFB2,LRRTM3,ERAP2
TCGA-DJ-A3VF	BRAF,SLC8A3,FLOT2,CRYM,BBS12
TCGA-ET-A3BU	BRAF,SHLD2,IPO11,GIT1
TCGA-EL-A3N2	BRAF
TCGA-EM-A3SU	BRAF,LARP7,SACS,PDSS1,DDX46,IRS2,SEMA5A,SEPTIN12,CCT6B
TCGA-E8-A242	BRAF
TCGA-EL-A3GR	BRAF,DHX8,PRPS1,STAG1,ARC,NUDT12,THPO,ATP7A
TCGA-EM-A2OY	AP3B1,UBQLN3,LRTM2,EXOC3L4,COL12A1,GRM6,SHROOM2,LYPLAL1,GPR141,CNPY4,TLL2
TCGA-DJ-A2Q5	BRAF,ITPR2,CTTNBP2,TRPC7,DLG1
TCGA-BJ-A3EZ	BRAF,PIK3CA,DHX8,SRC,DNAH9,ABL2,CAMK2A,AOC1,INTS1
TCGA-EM-A3FK	BRAF,MAPK8IP2,TRPV2,PITPNA
TCGA-CE-A481	PKHD1,SUOX,USP6,FRMPD1
TCGA-BJ-A18Z	BRAF,MAP3K3,WNK2,MUSK,LGI1,PLCG1,BECN1
TCGA-FE-A233	BRAF,CDH8,LSAMP,MCMBP,RAD51AP1
TCGA-DJ-A3V9	BRAF,KALRN,RRP12
TCGA-FY-A4B4	BRAF,AKT1,KDM2A,C2CD3,DRD4,MAP1A,LINGO1
TCGA-E8-A3X7	BRAF,NIPBL,FRMPD2,PTPRD
TCGA-EL-A3CP	BRAF,KIAA1109,ZNF407,HK3
TCGA-EL-A3H7	BRAF,MUC5B,GPT,SETBP1,TM9SF4,ABHD4,TTLL5,FAM120C,HHLA2,IFNAR2
TCGA-ET-A3DP	BRAF,COL11A2,SPAG9,PCLO,LIMD1,RPL36A
TCGA-J8-A42S	BRAF,DNAH17,TAF2,DNAH3
TCGA-J8-A3YG	BRAF,PLXND1,CELSR1,SWSAP1,ADAM2
TCGA-FY-A3R8	BRAF,COL22A1,ADAMTS16,PLA2G3
TCGA-DJ-A2QA	BRAF,KMT2C,TBC1D12,DNASE2,PDS5B,ELF4,ARHGEF2,CRP,RALB,ITGB3,FRS3
TCGA-EM-A2OW	FAM155A,PDZRN4,DLC1,TSHR,FAM207A,ASTN2,TOMM40,IL23R,CXXC4,GGA2
TCGA-CE-A13K	PRRC2A,MDN1,PAPSS1,PCDHGA3,SVIL,TFPI2,IFNL3
TCGA-ET-A3DR	NUP210L,JAKMIP1,PRKG1,XPO4
TCGA-DE-A2OL	TUBB4B,TEAD4,TLR4,UBASH3A,STK32B,DOK6
TCGA-MK-A4N7	BRAF,HUWE1,SIKE1,ZNRF3,RELN,MYT1L,MCM8,FGFR2,ACOT7,AKAP12,MAP2,GABRQ,CDC42BPB,VPS11
TCGA-FK-A3SG	BDP1,WDR11,ZNF324B,CD6
TCGA-EL-A3CV	BRAF,CNR1,SCN3A,TRANK1
TCGA-EL-A3CU	BRAF,TTN,BSN,FLG2,PRDM16,WASHC2A,CHCHD2,RGS18,MORF4L2,FGF20
TCGA-ET-A3BT	BRAF,CCNT1,TTK,WASHC2A
TCGA-DJ-A3UO	BRAF,KRBA2,TAPBP,KCNA5
TCGA-FY-A2QD	STK38,MECP2,HPS1,DLGAP2,ESX1,SLCO1B3,GABRB2,SLC23A2
TCGA-DE-A4MB	BRAF,AKT1,EPG5,PKM,COL5A3,SLC2A1,FGF13,AP4E1
TCGA-J8-A3NZ	BRAF
TCGA-E3-A3DZ	HRAS,COBL,DCAF13,HERC1,CDKN1B,TMEM62,GCC2,ATP1B4,MID2,FAM13A,SPAG17
TCGA-KS-A4I3	BRAF,IGSF9B,FREM1,RELN
TCGA-J8-A3YE	BRAF,ATM,SPTA1,CASZ1,KDM2A,RIC1,ADSS1
TCGA-EM-A2P1	BRAF,PRRC2A,XRN1,OTX1,GRAMD4,TRIM14,FCGRT
TCGA-ET-A3BP	BRAF,MXRA5
